x(m),δx(m),t(s),δt(s)
0.0,0.0005,0.0,5e-05
0.16,0.0005,0.4057275000000001,0.005359907789613351
0.36,0.0005,0.8520025,0.01104312269612083
0.56,0.0005,1.2922974999999999,0.016472581475303928
0.76,0.0005,1.7300475000000002,0.021792861118349834
